Date,Undergraduate Loan,Postgraduate Loan,Total Liabilities,,,
24/08/21,"£19,172.00","£10,227.00","£29,399.00",,,
31/08/21,"£19,549.00","£10,272.00","£29,821.00",,,
02/09/21,"£19,549.00","£10,272.00","£29,821.00",,,
08/09/21,"£19,386.00","£10,132.00","£29,518.00",,,
04/10/21,"£19,265.60","£10,037.58","£29,303.18",,,
25/10/21,"£19,289.00","£10,071.00","£29,360.00",,,
17/11/21,"£19,150.72","£9,966.30","£29,117.02",,,
09/12/21,"£18,987.72","£9,826.30","£28,814.02",,,
24/12/21,"£18,872.14","£9,753.00","£28,625.14",,,
07/02/22,"£18,709.14","£9,612.77","£28,321.91",,,
07/03/22,"£18,569.98","£9,508.40","£28,078.38",,,
29/03/22,"£18,591.37","£9,540.28","£28,131.65",,,
05/04/22,"£18,428.37","£9,400.28","£27,828.65",,,
11/05/22,"£18,231.85","£9,257.91","£27,489.76",,,
23/05/22,"£18,254.40","£9,292.00","£27,546.40",,,
07/06/22,"£18,277.50","£9,326.80","£27,604.30",,,
15/06/22,"£17,995.50","£9,106.80","£27,102.30",,,
20/07/22,"£17,735.54","£8,919.81","£26,655.35",,,
11/08/22,"£17,363.54","£8,639.81","£26,003.35",,,
09/09/22,"£17,596.13","£8,453.15","£26,049.28",,,
11/09/22,"£17,618.75","£8,485.63","£26,104.38",,,
10/10/22,"£17,425.45","£8,308.35","£25,733.80",,,
29/11/22,"£17,234.10","£8,131.57","£25,365.67",,,
13/12/22,"£17,038.86","£7,952.51","£24,991.37",,,
25/01/23,"£16,488.23","£7,535.16","£24,023.39",,,
12/02/23,"£16,294.54","£7,355.49","£23,650.03",,,
19/03/23,"£16,091.47","£7,171.12","£23,262.59",,,
21/04/23,"£15,900.92","£6,991.87","£22,892.79",,,
25/05/23,"£15,706.26","£6,810.24","£22,516.50",,,
27/06/23,"£15,512.25",-£2.49,£15509.76,,,
21/07/23,"£15,317.95",£0.00,£15317.95,,,
14/08/23,"£14,948.95",,"£14,948.95",,,
29/09/23,"£15,360.51",,"£15,360.51",,,
03/10/23,"£15,449.49",,"£15,449.49",,,
14/10/23,"£15,115.49",,"£15,115.49",,,
07/11/23,"£14,775.49",,"£14,775.49",,,
24/11/23,"£14,865.24",,"£14,865.24",,,
07/12/23,"£14,525.24",,"£14,525.24",,,
27/12/23,"£14,611.01",,"£14,611.01",,,
17/01/24,"£14,360.38",,"£14,360.38",,,
15/02/24,"£14,109.34",,"£14,109.34",,,
02/03/24,"£13,769.34",,"£13,769.34",,,
12/03/24,"£13,851.21",,"£13,851.21",,,
01/05/24,"£13,598.09",,"£13,598.09",,,
15/05/24,"£13,367.74",,"£13,367.74",,,
08/07/24,"£13,138.52",,"£13,138.52",,,
16/08/24,"£12,312.62",,"£12,312.62",,,
12/10/24,"£11,764.74",,"£11,764.74",,,
26/11/24,"£11,534.50",,"£11,534.50",,,
25/01/25,"£10,986.41",,"£10,986.41",,,
02/03/25,"£10,711.54",,"£10,711.54",,,
14/04/25,"£10,155.24",,"£10,155.24",,,
07/05/25,"£9,851.24",,"£9,851.24",,,
06/05/25,"£9,600.00",,"£9,600.00",,,
26/06/25,"£8,915.23",,"£8,915.23",,,
23/07/25,"£8,699.80",,"£8,699.80",,,
10/08/25,"£8,394.73",,"£8,394.73",,,
08/10/25,"£7,752.57",,"£7,752.57",,,
13/12/25,"£7,122.05",,"£7,122.05",,,
12/01/26,"£6,824.19",,"£6,824.19",,,
